CODIGO,ESCALADA,FASE,GRUPO (BLOQUE)
11740,1,F2,B1
11745,1,F2,B1
11751,1,F2,B1
11752,1,F2,B1
14806,1,F2,B1
14840,1,F2,B1
60247,1,F2,B1
60250,1,F2,B1
86237,1,F2,B1
10246,1,F1,B2
11742,1,F1,B2
11753,1,F1,B2
11759,1,F2,B1
11764,1,F2,B1
11765,1,F2,B1
11767,1,F2,B1
11769,1,F2,B1
11770,1,F2,B1
11771,1,F2,B1
11777,1,F2,B1
11758,1,F1,B2
11780,1,F1,B2
60185,1,F1,B2
11808,1,F1,B2
72019,1,F1,B2
11840,1,F1,B2
11848,1,F1,B2
11856,1,F1,B2
11859,1,F1,B2
11861,1,F1,B2
11869,1,F1,B2
11870,1,F1,B2
72045,1,F1,B2
11883,1,F1,B2
72058,1,F1,B2
11913,1,F1,B2
11922,1,F2,B1
11932,1,F2,B1
10084,1,F2,B1
11933,1,F2,B1
11934,1,F2,B1
11935,1,F2,B1
11937,1,F2,B1
11941,1,F2,B1
11943,1,F2,B1
11944,1,F2,B1
74005,1,F1,B2
11946,1,F2,B1
11952,1,F2,B1
11954,1,F2,B1
11955,1,F2,B1
11959,1,F2,B1
11962,1,F2,B1
11963,1,F2,B1
11964,1,F2,B1
11971,1,F1,B2
11975,1,F2,B1
11976,1,F2,B1
11987,1,F1,B2
11988,1,F2,B1
11991,1,F2,B1
11992,1,F2,B1
11994,1,F2,B1
11997,1,F1,B2
11998,1,F1,B2
74030,1,F1,B2
74091,1,F1,B2
12000,1,F2,B1
12001,1,F2,B1
12012,1,F2,B1
12015,1,F2,B1
12017,1,F2,B1
12009,1,F1,B2
60274,1,F1,B2
12032,1,F2,B1
12031,1,F1,B2
12037,1,F2,B1
12049,1,F2,B1
12051,1,F2,B1
12053,1,F2,B1
12059,1,F2,B1
12061,1,F2,B1
12055,1,F1,B2
12072,1,F1,B2
12076,1,F1,B2
74060,1,F1,B2
12124,1,F2,B1
12096,1,F1,B2
12097,1,F1,B2
12109,1,F1,B2
12116,1,F1,B2
12122,1,F1,B2
12123,1,F1,B2
74071,1,F1,B2
12131,1,F1,B2
12132,1,F1,B2
74081,1,F1,B2
74084,1,F1,B2
78089,1,F1,B2
